Country,alpha-2,alpha-3,continent,signature_food
Argentina,AR,ARG,South_America,"Asado is a very popular barbecue tradition in Argentina and is one of the essential elements of Argentina's culinary culture. Here is a detailed explanation of Asado: Asado generally uses different cuts of beef, including bife (grilled meat), chorizo (sausage), morcilla (blood sausage), tira de asado (grilled ribs), and others. Salt is the main seasoning to give the meat its flavor. Traditionally, asado is cooked over charcoal to give it a distinctive smoky flavor. Meats can be prepared simply with salt, or with additional seasonings such as pepper or Argentinian spices. Some cuts of meat may be marinated in chimichurri, a green sauce made from oil, vinegar, garlic, red chili peppers, and spices. The pieces of meat are placed on a special rack called a parrilla. The parrilla is usually made of iron and placed on a charcoal grill. The grilling process is usually done slowly and at a low temperature to allow time for the meat to cook evenly and develop its distinctive flavor. Bife (grilled meat) is generally cooked first, followed by chorizo sausage, morcilla and tira de asado. The bife is then cut into small pieces and served. Chimichurri is a green sauce that is often served as an accompaniment to asado. It adds a fresh and spicy touch with a combination of oil, vinegar, garlic, red pepper, parsley and oregano. Asado is a social event often shared with friends and family. The cooked food is served on a large platter or wooden board to be enjoyed together. Asado traditions can include various social rites and are specific to the order of grilling and serving."
Armenia,AM,ARM,Asia,"Lavash is a thin, elastic bread that is an integral part of traditional Armenian cuisine. It has been a staple in the Caucasus region for centuries. Here is a more detailed explanation of Lavash: Flour, water, and salt are mixed together to make lavash dough. The dough should be kneaded well until it is elastic and pliable. The dough is divided into small balls which are then worked into thin, expanding sheets using a special wooden tool called ""oğurmaç"" or ""oklava."" The process of forming lavash involves special skills as the size and thickness must be uniform. Traditionally, lavash is baked in a clay oven called a ""tonir."" A tonir is an oven shaped like a clay chimney that is buried underground. The bread is placed on the inner walls of the tonir and baked quickly at a high temperature. In the modern era, lavash can also be baked using a conventional oven or flat grill. Lavash is baked quickly due to its thin thickness. The baking process takes only a few minutes until the lavash becomes dry and slightly crispy. Lavash is usually stored in bulk and can be preserved for a period of time. It is used in a variety of ways, either as a side bread for a meal or as a wrapper for making roll dishes such as shawarma or kebabs. Regular Lavash: The most common lavash has a thin thickness and is often used to wrap various dishes. Fat Lavash: There is also a thicker and softer variant of lavash, which can be used to make dishes like lavashak, which is a sweet dish made from mashed lavash mixed with honey and nuts."
Australia,AU,AUS,Australia,"Vegemite is a pasta product popular in Australia and New Zealand. Vegemite is made from the remnants of beer fermentation, which results in a base ingredient called ""yeast extract"". This ingredient is rich in B vitamins, especially vitamins B1 (thiamine), B2 (riboflavin), B3 (niacin), and B9 (folic acid). In addition, Vegemite also contains salt, water, malt extract, and some flavor enhancers. The process starts with the extraction of yeast, which is then processed to obtain yeast extract. The yeast is usually derived from beer, and the fermentation process gives it a distinctive flavor and aroma. The yeast extract is then distilled and purified to remove unwanted substances and produce a thick, dark brown paste. During the production process, other ingredients such as salt, malt extract, and water are added to enhance the flavor and texture of Vegemite. Vegemite is generally served by spreading it thinly on bread that has been spread with butter or margarine. This is the conventional way and is very common in Australia. In addition, Vegemite can also be used as an ingredient in various dishes, such as soups, sauces, or even as a flavoring in cooking."
Austria,AT,AUT,Europe,"Sachertorte is a classic chocolate cake originating from Austria, particularly famous in the city of Vienna. Sachertorte consists of layers of rich and creamy chocolate cake. The ingredients for the cake batter include flour, sugar, eggs, butter, cocoa, and baking powder. Each cake layer is enveloped with apricot jam. This jam gives the cake softness and tenderness and gives it a refreshingly sour touch. The cake is coated with a thick chocolate layer made from a mixture of dark chocolate and melted butter. This layer gives a richness of flavor and softness to the entire cake. Eggs and sugar are beaten until fluffy, then melted butter and dry ingredients such as flour and cocoa are added. This dough is baked until done. Once cooled, the cake is cut into two horizontal layers. The first layer is spread with apricot jam, then the second layer is placed on top. Apricot jam is also spread over the cut surface of the cake, forming a protective layer and providing softness. The cake is then coated with a thick layer of chocolate that covers the entire surface. Some variants of Sachertorte may add the ""Sacher"" logo in white chocolate on top."
The Bahamas,BS,BHS,North_America,"Conch salad is a popular fresh dish in the Bahamas, and is one of the most common ways to enjoy conch, a type of sea snail common in tropical waters. These sea snails are the main ingredient in this dish. Conchs are usually cut into small pieces or thinly sliced. Fresh tomatoes, which are usually finely chopped, provide the sweet and sour flavor. Shallots provide a spicy flavor and a distinctive odor. These onions can be thinly sliced or finely chopped. Bell peppers, whether red, yellow, or green, provide color and sweetness to the dish. Lime is a common sour condiment used in conch salad. The lime adds freshness and flavor to the dish. Fresh coriander leaves provide a distinctive aroma and flavor. Some conch salad recipes add hot sauce to give a more intense spicy flavor. Salt and pepper to give flavor to the dish"
Bangladesh,BD,BGD,Asia,"Biryani is a spiced rice dish that originates from the Indian subcontinent and has become a very popular dish throughout the world. It is a dish rich in taste and aroma, often served on special occasions, celebrations, or religious occasions. Biryani has many variations and can be prepared with many types of meat, including chicken, goat, beef, or shrimp."
Thailand,TH,THA,Asia,"Pad Thai is the national food of Thailand. Pad Thai is a stir-fried rice noodle dish prepared with chicken, shrimp, or tofu. The rice noodles are stir-fried with your choice of protein – be it tofu or meat and eggs. It is served with garlic chives, red chilli pepper, chopped roasted peanuts, turnips, and lime on the side."
Malaysia,MY,MYS,Asia,"Nasi Lemak is national dish of Malaysia. Nasi means rice, and Lemak can be translated as rich or tasty. Rice is boiled in water with coconut milk, pandan leaves, and other spices. Nasi Lemak is traditionally served with sambal (chilli sauce with shrimp paste), fried dried anchovies and roasted peanuts. Side dishes can include egg, tofu, calamari, fried chicken, etc."
Poland,PL,POL,Europe,"Pierogi are Polish thinly rolled-out dough filled with a variety of fillings, savory or sweet. The most typical fillings include cabbage and mushrooms, potato and cheese, or simply meat, usually pork or beef. A sweet variety of pierogi sweet cottage cheese with raisins and seasonal fruit. You can get them either boiled, baked or fried, but traditionally in Poland you eat them boiled with butter and onions on top."
Portugal,PT,PRT,Europe,"Bacalhau a Bras is as typical a Portuguese dish. The dish is made with shredded bacalhau (salted cod), chopped onions, and thinly chopped and fried potatoes, then mixed with a bit of scrambled egg to bind it together. It's usually topped with olives and parsley, but some restaurants in Portugal are getting inventive with their add-ons."
Ireland,IE,IRL,Europe,"Irish stew is the national dish of Ireland. Irish stew traditionally made with mutton, onions and potatoes (the addition of carrots can be a divisive issue). To avoid the stew being watery, some recipes recommend adding pearl barley, a spoonful of roux or sliced potatoes, while others reduce the liquid by leaving the stew to simmer. These days, you’re more likely to find Irish stew made with lamb, with stock and herbs – such as thyme, parsley and bay leaves – adding depth of flavour."
Vietnam,VN,VNM,Asia,"Pho is the quintessential Vietnamese dish, the word Pho referring to the type of noodle used in the recipe. Flat rice noodles dance around with medium-rare slivers of beef or boiled chicken in a hearty beef stock. Originally it is distinguished by a clear broth and dressed only with a squeeze of lemon and slices of bird’s eye chili. The secret to a good bowl of Pho lies in its stock. The broth is usually infused with fragrant star anise, clove and cinnamon to lend a natural sweetness to the mix."
Lithuania,LT,LTU,Europe,"Cepelinai is a traditional Lithuanian dish that can be described as large, stuffed potato dumplings. The name ""cepelinai"" translates to ""zeppelins"" in English, likely referring to their resemblance to the shape of a zeppelin airship. This dish is a culinary icon in Lithuania and is known for its hearty and filling nature. The preparation of cepelinai involves creating a dough from grated and strained potatoes mixed with flour. This dough is then formed into large oval shapes, creating a hollow space in the center. The hollow is typically filled with a mixture of minced meat, often pork, although variations with other fillings exist. After shaping, the cepelinai are boiled until they float, indicating that they are cooked. They are then served hot and often accompanied by a side of sour cream or a sauce made with bacon bits and onions.Cepelinai are not only a delicious and satisfying dish but also hold cultural significance in Lithuanian cuisine. They are often enjoyed during special occasions and celebrations, reflecting the rich culinary traditions of the country."
Venezuela,VE,VEN,America,"Pabellon criollo is recognized as the national dish of Venezuela. This traditional Venezuelan dish is made with juicy shredded beef, black beans, and rice, with tajadas (fried plantains) or a fried egg or both. Each ingredient represents each ethnic group: the brown meat and yellow plantains as the indigenous people, the white rice as the European settlers, and the black beans as the Africans. Many believe that the colors embody the country’s flag, making pabellon criollo a truly nationalistic Venezuelan dish."
Georgia,GE,GEO,Asia,"Khachapuri is national dish of Georgia, this is is the perfect winter warmer. Khachapuri refers to a traditional Georgian dish consisting of cheese-filled bread. The bread can be shaped in various ways, typically with the cheese in the middle and a surrounding crust that can be broken off and dipped into the cheese. Aside from a specialized khachapuri cheese, the filling can contain eggs and other ingredients as well."
New Caledonia,NC,NCL,Oceania,"Bougna is a traditional dish from New Caledonia that holds cultural significance, particularly among the Kanak people, the indigenous inhabitants of the region. This dish is a representation of the connection between the people and their natural surroundings. Here is an explanation of Bougna in English: Bougna is a communal dish prepared for special occasions and gatherings. It typically consists of a mixture of ingredients such as fish, chicken, or pork combined with starchy vegetables like sweet potatoes and yams. Taro and plantains may also be included. The ingredients are seasoned with a variety of local herbs and spices, providing a distinctive flavor to the dish. The mixture is then carefully wrapped in banana leaves, creating a tight package that is secured with twine. Traditionally, Bougna is cooked in an earth oven known as a ""ahimā,"" where hot stones are used to bake the wrapped packages. This cooking method imparts a unique, smoky flavor to the ingredients. The communal aspect of preparing and sharing Bougna is an essential part of the cultural experience. Families or communities often come together to participate in the preparation and enjoy the meal, fostering a sense of unity and celebration. Bougna not only serves as a delicious and nourishing dish but also reflects the cultural heritage and connection to the land in New Caledonia."
Laos,LA,LAO,Asia,"Laab Ped often said to be the national dish of Laos, laab  is essentially a salad made from ground meat and herbs, laced with fish sauce and lime juice and topped with a powder made from dry ground rice. A variation most commonly found in Vientiane and southern Laos, hand-chopped deboned duck is crisped in a wok, then mixed with fish sauce, dark soy sauce, roasted dry chiles, and lime juice. Fried shallots, garlic, and herbs are added, both for flavor and to temper the gamey meat and savory fat, and mint leaves and toasted rice powder provide color and texture. The dish is meant to be scooped up with lettuce hearts and cucumber, as well as raw Thai eggplant. Small, hard, and globular, Thai eggplants are crisp and sturdy when sliced, and complement the laab with their subtle, vegetal bitterness."
Norway,NO,NOR,Europe,"Farikal is the national dish of Norway. Cabbage and mutton are layered in a pot along with black peppercorns and salt, in some recipes wheat flour to thicken the sauce, covered with water and simmered until the meat is very tender. The dish is served with potatoes."
Denmark,DK,DNK,Europe,"The Danish open faced sandwiches, smorrebrod, are perhaps the most famous of the Danish food classics. Smorrebrod is simply a slice of buttered rye bread with various combinations of toppings such as pickled herring, roast beef and eggs topped with mayo and shrimps."
Brazil,BR,BRA,South_America,"Brazilian Feijoada is a black bean and pork stew that Brazilians often serve topped with farofa, toasted cassava flour. Feijoada, a popular Brazilian dish, owes its name to its main ingredient, black beans (feijão). It is a rich stew traditionally made from different parts of the pig, such as feet, ears, and bacon, as well as other smoked meats."
Canada,CA,CAN,North_America,"Poutine is an absolutely divine dish composed of fries topped with cheese curds and hot gravy. At its most basic, poutine is a carby, cheesy, brown gravy-loaded masterpiece. There are no rules when it comes to poutine, though. It can be topped with veggies, bacon, chili, pulled pork, and, really, anything your poutine-loving heart desires."
Mexico,MX,MEX,North_America,"Chilaquiles are a traditional Mexican breakfast dish consisting of corn tortillas cut into quarters and lightly fried. Typically, corn tortillas cut into quarters and lightly fried, or baked for a lighter version, are the basis of the dish. Green or red salsa is poured over the crisp tortilla triangles. The mixture is simmered until the tortilla starts softening. Pulled chicken is sometimes added to the mix. It is commonly garnished with crema, crumbled queso fresco, sliced onion, and avocado slices. Chilaquiles can be served with refried beans, eggs (scrambled or fried) and guacamole as side dishes."
Qatar,QA,QAT,Asia," Machboos, the national dish of Qatar, is a rich and flavorsome rice dish that comes from a combination of aromatic spices that produce a smoky taste. Served with a variety of meats, the dish is a favorite across the Arabian Sea. This dish consists of rice cooked with a blend of spices, meat (usually lamb, goat, or chicken), and vegetables. Commonly used spices include cinnamon, cloves, cumin, cardamom, and saffron, contributing to a rich and aromatic flavor profile."
Russia,RU,RUS,Europe,"Blini is a traditional Russian pancake that holds a significant place in Russian cuisine. These thin, round, and soft pancakes are typically made from buckwheat flour or wheat flour and are known for their light and delicate texture. Blini can be served in various ways, both sweet and savory. In sweet variations, Blini are commonly topped or filled with ingredients such as sour cream, jam, honey, fresh berries, or sometimes sweetened condensed milk. On the savory side, they are often accompanied by toppings like smoked salmon, caviar, sour cream, or cheese."
Spain,ES,ESP,Europe,"Paella Valenciana is a traditional Spanish dish that originated in the Valencia region. It is a flavorful and vibrant rice dish, typically cooked in a wide, shallow pan. The key ingredients include round grain rice, saffron, and a combination of meat and/or seafood. One of the distinguishing features of Paella Valenciana is its golden color, which comes from the saffron used in the cooking process. The dish often includes rabbit, chicken, or duck as the primary meat components. Additionally, green beans and white beans are commonly incorporated, adding texture and depth to the dish."
Egypt,EG,EGY,Africa,"Ful Wa Ta'ameya is a classic Egyptian dish that consists of two main components: Ful Medames and Ta'ameya (Egyptian falafel). Ful Medames is a stew made from cooked fava beans, seasoned with ingredients like garlic, olive oil, lemon juice, and cumin, resulting in a savory and nutritious mixture. Ta'ameya, the falafel counterpart, is made from ground fava beans or chickpeas mixed with herbs and spices before being deep-fried to a crispy perfection. Together, Ful Wa Ta'ameya creates a satisfying and flavorful dish, often served with flatbread or pita, and garnished with fresh vegetables and tahini sauce for a delightful taste of Egyptian cuisine. It is a popular street food and a staple in Egyptian households."
Nigeria,NG,NGA,Africa,"Eba, also known as garri, is a popular West African staple food, particularly in Nigeria and other countries in the region. It is made from cassava, a root vegetable. The cassava is peeled, grated, fermented, and then dried to produce small, coarse grains or granules. To prepare eba, the granules are mixed with hot water on a stovetop, and the mixture is stirred continuously until it forms a smooth, stretchy, and dough-like consistency. The result is a firm, gelatinous ball or mound of eba. It is often served as an accompaniment to soups, stews, or sauces, particularly those with rich and flavorful broths."
Germany,DE,DEU,Europe,"Brot and Brötchen are German terms referring to bread and rolls, respectively. Brot encompasses a wide variety of bread in Germany, ranging from dense whole grain loaves to lighter white bread. Brötchen specifically denotes small, round bread rolls that come in various types, such as sesame, poppy seed, or plain, and are a popular breakfast or snack item. German bakeries take pride in producing a diverse selection of Brot and Brötchen, offering a delightful array of textures and flavors to suit different preferences and meals."
Turkey,TR,TUR,Asia,"Köfte is a popular dish in Turkish cuisine, consisting of seasoned ground meat, usually beef or lamb, shaped into small patties or meatballs. The meat mixture is often combined with ingredients like breadcrumbs, onions, garlic, and various herbs and spices, contributing to its flavorful profile. Köfte can be grilled, pan-fried, or oven-baked, and it is served in various ways, such as on skewers, wrapped in flatbread, or as part of a larger meal."
Sweden,SE,SWE,Europe,"Köttbullar, commonly known as Swedish meatballs, are a beloved dish in Swedish cuisine. These small, flavorful meatballs are typically made with a mixture of ground meat, often a combination of beef and pork, mixed with breadcrumbs, finely chopped onions, and various seasonings. The meatballs are formed into small rounds and then pan-fried or oven-baked until golden brown."
Chile,CL,CHL,South_America,"Arrollado Huaso is a Chilean dish that showcases the country's culinary heritage. This savory delicacy consists of thinly sliced pork, seasoned with a blend of spices, herbs, and sometimes garlic. The seasoned pork is then rolled and slow-cooked until tender. Arrollado Huaso is typically served cold, sliced into rounds, and accompanied by pebre, a traditional Chilean salsa made with tomatoes, onions, cilantro, and chili peppers. This dish is a beloved part of Chilean cuisine, celebrated for its unique flavors and cultural significance."
Djibouti,DJ,DJI,Africa,"Djiboutian cuisine is rich in flavors and cultural influences, and one notable traditional dish is Skoudehkaris. Skoudehkaris is a fragrant and flavorful one-pot rice dish, often prepared with meat such as lamb or goat, and a mix of aromatic spices like cinnamon, cumin, and cloves. The dish also incorporates vegetables like carrots and peas, creating a well-balanced and hearty meal. Skoudehkaris reflects Djibouti's unique blend of African, Middle Eastern, and French culinary influences, making it a delightful representation of the country's diverse food culture."
Dominican Republic,DO,DOM,North_America,"One of Dominica's signature traditional dishes is Callaloo Soup, a flavorful and nutritious soup made with dasheen leaves, okra, and various vegetables. The soup often includes coconut milk, giving it a creamy texture and a tropical twist. Another popular dish is the national dish of Dominica, Mountain Chicken, which is not chicken at all but rather a dish made with local frogs. This unique dish is typically seasoned with herbs and spices, reflecting the island's rich culinary heritage. Dominica's traditional cuisine highlights the use of fresh, locally sourced ingredients, providing a true taste of the island's natural abundance."
Ecuador,EC,ECU,South_America,"Ecuador boasts a diverse and flavorful traditional dish known as Ceviche. This popular coastal dish features marinated seafood, such as shrimp or fish, cured in a zesty blend of lime juice, tomatoes, onions, and cilantro. Another iconic Ecuadorian dish is Llapingachos, savory potato patties stuffed with cheese and grilled to perfection, often served with a side of peanut sauce and chorizo. Additionally, Fanesca, a hearty soup enjoyed during Easter, combines various grains, beans, and dried salted fish, creating a dish that symbolizes Ecuador's cultural and religious traditions. Ecuadorian cuisine beautifully reflects the country's rich biodiversity and indigenous culinary influences."
El Salvador,SV,SLV,North_America,"Pupusa stands out as El Salvador's quintessential traditional dish, featuring thick corn tortillas filled with a variety of ingredients like cheese, beans, and chicharrón (pork). These stuffed delights are grilled to perfection and often served with curtido, a pickled cabbage slaw. Another cherished culinary gem is Yuca Frita, deep-fried cassava root that offers a crispy exterior and a soft, starchy interior. Salvadoran tamales, known as Tamales de Elote, are wrapped in banana leaves and made with fresh corn, showcasing the country's agricultural abundance. El Salvador's traditional cuisine brings forth a delightful array of flavors, reflecting its cultural heritage and local agricultural produce."
Eritrea,ER,ERI,Africa,"Zigni is a spicy and aromatic Eritrean beef stew that is highly favored in Eritrean cuisine. The dish is known for its bold flavors, with the heat derived from the use of berbere, a traditional spice blend that typically includes chili peppers, garlic, ginger, and various herbs and spices. The beef is simmered in this rich and flavorful sauce until tender, creating a hearty and satisfying dish. Zigni is often served with injera, a sourdough flatbread, allowing diners to scoop up the stew with the bread. This dish is a testament to the vibrant and diverse taste palette of Eritrean culinary traditions."
Estonia,EE,EST,Europe,"Verivorst, also known as blood sausage, is a traditional Estonian dish that is commonly enjoyed during the Christmas season. It is made from a mixture of pork meat, barley, and blood, typically from pigs. The blood gives the sausage its distinctive dark color. Verivorst is seasoned with various spices, including black pepper and marjoram, to enhance its flavor. The mixture is then stuffed into casings and cooked by boiling or baking until the sausage is fully cooked. Once prepared, verivorst is often served sliced and accompanied by traditional Estonian sides such as sauerkraut, potatoes, lingonberry sauce, and sometimes a dollop of sour cream. This blood sausage is a flavorful and culturally significant dish in Estonian festive cuisine."
Ethiopia,ET,ETH,Africa,"Doro Wat is a traditional Ethiopian dish known for its rich and spicy flavors. It is a spicy chicken stew that is often considered the national dish of Ethiopia. The dish is made with chicken (usually drumsticks or thighs) cooked in a thick, red berbere sauce, which is a blend of chili peppers, garlic, ginger, and various spices. Doro Wat is typically prepared during special occasions and celebrations. It is often served with injera, a sourdough flatbread that complements the bold flavors of the stew. Hard-boiled eggs are also a common addition to Doro Wat. The dish is not only cherished for its taste but also for its cultural significance, as it is an integral part of Ethiopian cuisine and is often enjoyed during festive gatherings."
